2008_004979.jgp,2008_004979.txt
2010_002251.jgp,2010_002251.txt
2008_003507.jgp,2008_003507.txt
2009_003739.jgp,2009_003739.txt
2009_002993.jgp,2009_002993.txt
004761.jgp,004761.txt
2008_007567.jgp,2008_007567.txt
2008_005796.jgp,2008_005796.txt
001393.jgp,001393.txt
005301.jgp,005301.txt
002660.jgp,002660.txt
006237.jgp,006237.txt
2010_003297.jgp,2010_003297.txt
004950.jgp,004950.txt
009418.jgp,009418.txt
2008_008717.jgp,2008_008717.txt
2008_008336.jgp,2008_008336.txt
008857.jgp,008857.txt
2008_006825.jgp,2008_006825.txt
2008_000971.jgp,2008_000971.txt
2011_000947.jgp,2011_000947.txt
2009_000337.jgp,2009_000337.txt
2008_005197.jgp,2008_005197.txt
002051.jgp,002051.txt
004831.jgp,004831.txt
2008_004858.jgp,2008_004858.txt
007080.jgp,007080.txt
2009_002333.jgp,2009_002333.txt
000783.jgp,000783.txt
2008_000516.jgp,2008_000516.txt
2008_007993.jgp,2008_007993.txt
000097.jgp,000097.txt
2008_004142.jgp,2008_004142.txt
009754.jgp,009754.txt
007579.jgp,007579.txt
000886.jgp,000886.txt
004014.jgp,004014.txt
2010_003560.jgp,2010_003560.txt
007308.jgp,007308.txt
2010_000419.jgp,2010_000419.txt
2009_000547.jgp,2009_000547.txt
008548.jgp,008548.txt
000212.jgp,000212.txt
002888.jgp,002888.txt
004410.jgp,004410.txt
008122.jgp,008122.txt
000836.jgp,000836.txt
003829.jgp,003829.txt
000410.jgp,000410.txt
007543.jgp,007543.txt
2008_008288.jgp,2008_008288.txt
006841.jgp,006841.txt
009579.jgp,009579.txt
2008_006833.jgp,2008_006833.txt
006591.jgp,006591.txt
005061.jgp,005061.txt
2010_004567.jgp,2010_004567.txt
2008_004045.jgp,2008_004045.txt
008052.jgp,008052.txt
2009_001254.jgp,2009_001254.txt
006043.jgp,006043.txt
2008_002093.jgp,2008_002093.txt
2008_000426.jgp,2008_000426.txt
2011_000194.jgp,2011_000194.txt
2009_004162.jgp,2009_004162.txt
002250.jgp,002250.txt
007571.jgp,007571.txt
2008_000469.jgp,2008_000469.txt
003206.jgp,003206.txt
005617.jgp,005617.txt
004355.jgp,004355.txt
002394.jgp,002394.txt
008920.jgp,008920.txt
2008_003025.jgp,2008_003025.txt
008718.jgp,008718.txt
003236.jgp,003236.txt
2009_005016.jgp,2009_005016.txt
2008_004203.jgp,2008_004203.txt
008460.jgp,008460.txt
2008_000330.jgp,2008_000330.txt
2008_000584.jgp,2008_000584.txt
2008_007339.jgp,2008_007339.txt
005321.jgp,005321.txt
2010_003674.jgp,2010_003674.txt
2009_001414.jgp,2009_001414.txt
2008_006317.jgp,2008_006317.txt
2008_007133.jgp,2008_007133.txt
009014.jgp,009014.txt
2009_003499.jgp,2009_003499.txt
2008_005043.jgp,2008_005043.txt
2008_003697.jgp,2008_003697.txt
000192.jgp,000192.txt
004213.jgp,004213.txt
001501.jgp,001501.txt
004380.jgp,004380.txt
000735.jgp,000735.txt
2009_000750.jgp,2009_000750.txt
2008_008391.jgp,2008_008391.txt
005148.jgp,005148.txt
003191.jgp,003191.txt
008253.jgp,008253.txt
005800.jgp,005800.txt
2009_001546.jgp,2009_001546.txt
000916.jgp,000916.txt
2011_000479.jgp,2011_000479.txt
002726.jgp,002726.txt
009617.jgp,009617.txt
2008_007488.jgp,2008_007488.txt
2008_002162.jgp,2008_002162.txt
2009_000757.jgp,2009_000757.txt
003039.jgp,003039.txt
2009_001864.jgp,2009_001864.txt
2010_002457.jgp,2010_002457.txt
006493.jgp,006493.txt
000220.jgp,000220.txt
003996.jgp,003996.txt
2011_001618.jgp,2011_001618.txt
2009_003965.jgp,2009_003965.txt
008281.jgp,008281.txt
007830.jgp,007830.txt
2008_003847.jgp,2008_003847.txt
005237.jgp,005237.txt
003826.jgp,003826.txt
008220.jgp,008220.txt
009487.jgp,009487.txt
2011_000888.jgp,2011_000888.txt
001979.jgp,001979.txt
2010_004165.jgp,2010_004165.txt
2008_008443.jgp,2008_008443.txt
006989.jgp,006989.txt
002469.jgp,002469.txt
2008_001797.jgp,2008_001797.txt
008560.jgp,008560.txt
002214.jgp,002214.txt
2010_003540.jgp,2010_003540.txt
006666.jgp,006666.txt
2008_000480.jgp,2008_000480.txt
003147.jgp,003147.txt
2008_000615.jgp,2008_000615.txt
2009_000168.jgp,2009_000168.txt
2010_003719.jgp,2010_003719.txt
002657.jgp,002657.txt
2008_001470.jgp,2008_001470.txt
2011_000249.jgp,2011_000249.txt
009766.jgp,009766.txt
2008_001624.jgp,2008_001624.txt
2009_004582.jgp,2009_004582.txt
009879.jgp,009879.txt
2008_002042.jgp,2008_002042.txt
007151.jgp,007151.txt
002951.jgp,002951.txt
003305.jgp,003305.txt
005748.jgp,005748.txt
2009_000309.jgp,2009_000309.txt
2008_000540.jgp,2008_000540.txt
001992.jgp,001992.txt
009201.jgp,009201.txt
2009_005257.jgp,2009_005257.txt
004800.jgp,004800.txt
000612.jgp,000612.txt
2008_002670.jgp,2008_002670.txt
003556.jgp,003556.txt
2008_006960.jgp,2008_006960.txt
2008_000545.jgp,2008_000545.txt
003182.jgp,003182.txt
2009_000283.jgp,2009_000283.txt
008900.jgp,008900.txt
006903.jgp,006903.txt
007333.jgp,007333.txt
003539.jgp,003539.txt
2009_004125.jgp,2009_004125.txt
005195.jgp,005195.txt
2008_008695.jgp,2008_008695.txt
009532.jgp,009532.txt
2008_000222.jgp,2008_000222.txt
2010_004341.jgp,2010_004341.txt
2009_000856.jgp,2009_000856.txt
006477.jgp,006477.txt
002031.jgp,002031.txt
2008_002357.jgp,2008_002357.txt
2008_003815.jgp,2008_003815.txt
2009_004224.jgp,2009_004224.txt
2008_001769.jgp,2008_001769.txt
001606.jgp,001606.txt
2010_004779.jgp,2010_004779.txt
000386.jgp,000386.txt
2009_000239.jgp,2009_000239.txt
2011_002193.jgp,2011_002193.txt
002643.jgp,002643.txt
001067.jgp,001067.txt
004508.jgp,004508.txt
2008_005090.jgp,2008_005090.txt
2009_004403.jgp,2009_004403.txt
2009_000724.jgp,2009_000724.txt
007476.jgp,007476.txt
004499.jgp,004499.txt
2010_000324.jgp,2010_000324.txt
2008_000828.jgp,2008_000828.txt
001729.jgp,001729.txt
002119.jgp,002119.txt
2008_006881.jgp,2008_006881.txt
2008_005707.jgp,2008_005707.txt
2008_004457.jgp,2008_004457.txt
001793.jgp,001793.txt
008315.jgp,008315.txt
004397.jgp,004397.txt
009556.jgp,009556.txt
2008_006613.jgp,2008_006613.txt
009296.jgp,009296.txt
007590.jgp,007590.txt
004647.jgp,004647.txt
006637.jgp,006637.txt
002939.jgp,002939.txt
007083.jgp,007083.txt
